Termékcsoport;Cikkszám;Vonalkód;Megnevezés;Kiszerelés;;Nagyker nettó ár;Áfa;Nagyker bruttó ár;VTSZ;Státusz
Reformélelmiszer,élvezeti tea;30967;4011800573515;CORNY BIG FEKETE CSOKIS 50G;50.000;g;113;27;143;19053111;
Reformélelmiszer,élvezeti tea;18893;5999882378015;MÉHES MÉZES SZÖRP MÁLNA 500ML;500;ml;690;27;876;21069030;
Reformélelmiszer,élvezeti tea;18898;5999882378060;MÉHES MÉZES SZÖRP CSIPKE 500ML;500;ml;690;27;876;21069030;
Reformélelmiszer,élvezeti tea;39041;5999882397276;GARDEN ALMA GYÜMÖLCSLÉ FAHÉJJAL ÉS VANILIÁVAL 100%-OS 500ML;500;ml;219;27;277;20097199;
Reformélelmiszer,élvezeti tea;19017;5999882540047;KIRÁLYI MÉZES MÜZLI DIÓS 400G;400.000;g;782;18;923;1104000000;
Reformélelmiszer,élvezeti tea;35418;5999882885605;FRISS PUFFASZTOTT TÖNKÖLYBÚZA NATÚR 85G;85.000;g;196;18;231;1904;
Reformélelmiszer,élvezeti tea;23533;5999882901312;TÖNKÖLYBÚZA KOLBÁSZ 200G;200.000;g;426;18;502;190190000;
Reformélelmiszer,élvezeti tea;39404;5999882933108;PIKNIK EXTRUDÁLT KENYÉR TELJES KIÖRLÉSŰ BÚZÁBÓL 100G;100;g;94;18;111;19051000;
Reformélelmiszer,élvezeti tea;39399;5999882933726;TWIST TONHALTÖRZS NATÚR LÉBEN 4X80G;320;g;713;27;906;16041418;
Reformélelmiszer,élvezeti tea;43753;3760249760345;NATURE MOI VEGETÁRIÁNUS SPECIALITÁS FÜSTÖLT SAJT ÍZESÍTÉSSEL 200G;200;g;558;27;708;21069098-4;
Reformélelmiszer,élvezeti tea;42627;3800092625955;KRONOSDIET ASZALT VÖRÖSÁFONYA 70G;70;g;190;27;241;1016;
Reformélelmiszer,élvezeti tea;42471;3800092626051;KRONOSDIET PREMIUM VEGYES GYÜMÖLCS MIX 70G;70;g;380;27;482;1016;
Reformélelmiszer,élvezeti tea;10652;3800202667127;TÁMBA ÉS FIA CSÍPŐS PADLIZSÁN KÖRET 550G;550.000;g;523;27;665;2001909991;
Reformélelmiszer,élvezeti tea;32644;4016389041035;BAUER NARANCSLÉ 100% BRAZIL 1000ML;1000.000;ml;598;27;760;20091200;
Reformélelmiszer,élvezeti tea;34288;4016389041042;BAUER MULTIVITAMINLÉ 100% 1000ML;1000.000;ml;518;27;657;20099059;
Reformélelmiszer,élvezeti tea;32647;4016389041257;BAUER PIROS GRAPEFRUITLÉ 100% 1000ML;1000.000;ml;692;27;879;20098999;
Reformélelmiszer,élvezeti tea;37109;4016389044043;BAUER BANÁNNEKTÁR 25% 1000ML;1000;ml;449;27;570;20099095;
Reformélelmiszer,élvezeti tea;39803;5411188114239;ALPRO FŐZŐKRÉM RIZS ALAPÚ 250ML;250;ml;252;27;320;22029010;
Reformélelmiszer,élvezeti tea;43892;5999538141444;SUNVITA ALMÁS GYÜMÖLCSSZELET 20G;20;g;44;27;55;20089798;
Reformélelmiszer,élvezeti tea;19855;6901118793669;DR.CHEN EREDETI KÍNAI ZÖLD TEA 100G;100.000;g;574;27;729;902100000;
Reformélelmiszer,élvezeti tea;35297;4020400890038;VIVIL CUKORKA KRAUTER 60G;60.000;g;388;27;493;2106909899;
Reformélelmiszer,élvezeti tea;34231;4020400890069;VIVIL CUKORKA LEMON 60G;60.000;g;388;27;493;21069092;
Reformélelmiszer,élvezeti tea;28984;016229001711;AROY-D KÓKUSZTEJ 400ML ;400;ml;438;27;556;2106090899;
Reformélelmiszer,élvezeti tea;13178;4791003266505;STASSEN EARL GREY TEA 100G;100.000;g;370;27;470;9023000;
Reformélelmiszer,élvezeti tea;31074;4797001008567;MERU SZŰZ KÓKUSZOLAJ 400ML;400.000;ml;1 645;27;2 089;1513213000;
Reformélelmiszer,élvezeti tea;30608;5411188111375;ALPRO RIZSITAL DOLCE VANÍLIA 1000 ML;1000.000;ml;435;27;552;22029010;
Reformélelmiszer,élvezeti tea;12961;5411188543398;ALPRO SZÓJAITAL CUKOR ÉS SÓ NÉLKÜL 1000ML;1000.000;ml;405;27;514;22029010;
Reformélelmiszer,élvezeti tea;43893;5999538141437;SUNVITA EPRES GYÜMÖLCSSZELET 20G;20;g;44;27;55;20089798;
Reformélelmiszer,élvezeti tea;23514;3017760524896;GYŐRI ÉDES KEKSZ KIS MACKÓ PISKÓTA CSOKIKRÉMMEL TÖLTÖTT 30G;30.000;g;62;18;73;1905906000;
Reformélelmiszer,élvezeti tea;15852;5998219305014;DR.TEA PAPAYA+ZÖLDTEA FILTERES 20DB;20.000;db;442;27;561;2106909899;
Reformélelmiszer,élvezeti tea;31311;2000031311005;ŐZIKE FEHÉR SZALÁMI;1.000;g;5;27;6;1601009100;
Reformélelmiszer,élvezeti tea;44167;8712857971809;TROPICAL NATA DE COCO MANGÓ ÍZŰ ÜDITŐITAL KÓKUSZ DARABOKKAL 320ML;320;ml;235;27;298;22029010;
Reformélelmiszer,élvezeti tea;37753;8850904373388;GIFFARINE ITAL COLLAGEN PLUS ZINC  6X50ML;300;ml;4 715;27;5 988;2106909845;
Reformélelmiszer,élvezeti tea;28635;8888196125125;POKKA TEJES KÁVÉ 240ML;240.000;ml;174;27;221;22029010;
Reformélelmiszer,élvezeti tea;30351;8901207011368;DABUR KARDAMOM KIVONAT 60 ML;60.000;ml;1 168;27;1 484;908300000;
Reformélelmiszer,élvezeti tea;22381;9120008504209;STEINERS TŐZEGÁFONYA ASZALT 150G;150.000;g;805;27;1 022;2008994900;
Reformélelmiszer,élvezeti tea;16435;5999883930137;CLASSIC FARM COOKIE ALMÁS FAHÉJAS VAJAS KEKSZ 50G;50.000;g;165;18;195;1905401099;
Reformélelmiszer,élvezeti tea;35756;5999884035077;NYÍRFACUKOR LEKVÁR SÁRGABARACK 230G;230.000;g;592;27;752;2007109900;
Reformélelmiszer,élvezeti tea;44325;5999884455028;GREEN FARM REFORMKÖRET MIX (KUSZKUSZ,HAJDINA,VÖRÖSLENCSE) 2X80G;160;g;249;27;316;19024010;
Reformélelmiszer,élvezeti tea;41453;5999884455981;NETT FOOD TÖNKÖLY BÚZALISZT FEHÉR TBL70  1000G;1000;g;345;27;438;11010015;
Reformélelmiszer,élvezeti tea;37200;5999884651215;TÜNDÉRVÍZ MATYÓS ARCULATTAL SZÉNSAVAS 500ML;500.000;ml;77;27;98;0911;
Reformélelmiszer,élvezeti tea;39593;5999884663133;DUNARÉT GYÜMINI ALMA CÉKLA 300ML;300;ml;150;27;190;2009902900;
Reformélelmiszer,élvezeti tea;40258;5999884818496;NATURE COOKTA  HIMALÁJA SÓ FEKETE 250G;250;g;334;27;424;2501100000;
Reformélelmiszer,élvezeti tea;42645;5999885092130;VIKTORIA ROZSOS MAGOS KENYÉR 300G;300;g;299;18;353;1905;
Reformélelmiszer,élvezeti tea;44271;8850180040011;GOGI TEMPURA LISZT 150G;150;g;309;18;365;1901200000;
Reformélelmiszer,élvezeti tea;43944;8886303245117;SMOOZE ANANÁSZ ÉS KÓKUSZ JÉGKRÉM 65ML;65;ml;150;27;190;210500;
Reformélelmiszer,élvezeti tea;32510;4019738075071;SOYATOO HABTEJSZIN RIZS 300ML;300.000;ml;630;27;800;21069098;
